timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,RSI,RSI_signal
2021-01-14 12:00:00,38950.0,40067.9,38950.0,39433.56,0.237097,1610639999999,9452.54591993,11,0.135539,5398.14084545,0,0.0,0
2021-01-14 16:00:00,39538.49,39786.51,39237.1,39786.51,0.182639,1610654399999,7173.09941128,6,0.005154,203.84437454,0,0.0,0
2021-01-14 20:00:00,39587.77,39587.77,38500.0,38895.46,1.45037,1610668799999,56485.44718228,30,0.398106,15454.42896945,0,0.0,0
2021-01-15 00:00:00,39329.79,39694.1,38548.64,38548.64,0.460117,1610683199999,17916.96550056,13,0.324579,12595.43161826,0,0.0,0
2021-01-15 04:00:00,38523.43,38750.85,37786.52,37802.96,2.21712,1610697599999,85051.88326058,28,0.866667,33135.47308463,0,0.0,-1
2021-01-15 08:00:00,38530.19,38565.56,38132.34,38186.43,0.850341,1610711999999,32533.33851984,17,0.225249,8657.0537853,0,0.0,-1
2021-01-15 12:00:00,37867.12,37966.12,35500.0,35500.0,4.18161,1610726399999,154759.11838857,197,1.860671,68937.98936837,0,0.0,-1
2021-01-15 16:00:00,35383.01,36097.82,34366.4,35800.0,3.473788,1610740799999,122791.44899359,98,1.689435,59752.08679487,0,0.0,-1
2021-01-15 20:00:00,35264.46,36738.04,34880.0,36738.04,0.346663,1610755199999,12457.97172687,22,0.223157,8101.62823985,0,0.0,-1
2021-01-16 00:00:00,37237.01,37580.0,36105.77,36496.65,0.922616,1610769599999,33879.79831009,30,0.602359,22139.02668113,0,0.0,-1
2021-01-16 04:00:00,36582.52,36831.86,35793.47,36799.17,0.380321,1610783999999,13784.1949962,13,0.192456,6996.30101055,0,0.0,-1
2021-01-16 08:00:00,36805.18,37688.94,36805.18,37651.0,2.143494,1610798399999,80311.66010682,53,0.671515,24890.17877782,0,0.0,-1
2021-01-16 12:00:00,37157.98,37548.8,37157.98,37484.65,1.016413,1610812799999,37902.20391174,19,0.943101,35152.70333254,0,0.0,-1
2021-01-16 16:00:00,37413.26,37413.26,36415.28,36415.28,0.729743,1610827199999,26829.02754486,19,0.357099,13130.10287808,0,0.0,-1
2021-01-16 20:00:00,36415.28,36597.0,35812.19,36459.23,0.08446,1610841599999,3043.33203539,15,0.047671,1719.06951286,0,34.04303717334511,0
2021-01-17 00:00:00,36000.0,36570.96,35605.29,36181.4,1.028369,1610855999999,37148.48615355,36,0.008204,296.8322056,0,32.98412517402369,0
2021-01-17 04:00:00,36181.4,36300.4,34692.0,34765.2,2.600972,1610870399999,92631.13636024,90,0.093892,3330.61589328,0,28.173490648942547,-1
2021-01-17 08:00:00,34492.17,35063.56,34256.2,34719.86,2.102814,1610884799999,72409.07261307,15,0.07274,2530.4234347,0,28.03252889933499,-1
